phase,model,run,attempts_total,non_submitted_total,category,count,infra_bucket
phase3-agentic-loop,codestral-2501,1,300,15,timeout/connection,0,1
phase3-agentic-loop,codestral-2501,1,300,15,auth/access,0,1
phase3-agentic-loop,codestral-2501,1,300,15,rate-limit,0,1
phase3-agentic-loop,codestral-2501,1,300,15,server-5xx,0,1
phase3-agentic-loop,codestral-2501,1,300,15,api-version-unsupported,0,1
phase3-agentic-loop,codestral-2501,1,300,15,baseline_compile_failed,0,0
phase3-agentic-loop,codestral-2501,1,300,15,baseline_no_owning_csproj,0,0
phase3-agentic-loop,codestral-2501,1,300,15,max-turns-exhausted,15,0
phase3-agentic-loop,codestral-2501,1,300,15,context-length,0,0
phase3-agentic-loop,codestral-2501,1,300,15,content-filter,0,0
phase3-agentic-loop,codestral-2501,1,300,15,invalid-prompt,0,0
phase3-agentic-loop,codestral-2501,1,300,15,adapter-parse-error,0,0
phase3-agentic-loop,codestral-2501,1,300,15,other,0,0
phase3-agentic-loop,codestral-2501,2,300,13,timeout/connection,0,1
phase3-agentic-loop,codestral-2501,2,300,13,auth/access,0,1
phase3-agentic-loop,codestral-2501,2,300,13,rate-limit,0,1
phase3-agentic-loop,codestral-2501,2,300,13,server-5xx,0,1
phase3-agentic-loop,codestral-2501,2,300,13,api-version-unsupported,0,1
phase3-agentic-loop,codestral-2501,2,300,13,baseline_compile_failed,0,0
phase3-agentic-loop,codestral-2501,2,300,13,baseline_no_owning_csproj,0,0
phase3-agentic-loop,codestral-2501,2,300,13,max-turns-exhausted,13,0
phase3-agentic-loop,codestral-2501,2,300,13,context-length,0,0
phase3-agentic-loop,codestral-2501,2,300,13,content-filter,0,0
phase3-agentic-loop,codestral-2501,2,300,13,invalid-prompt,0,0
phase3-agentic-loop,codestral-2501,2,300,13,adapter-parse-error,0,0
phase3-agentic-loop,codestral-2501,2,300,13,other,0,0
phase3-agentic-loop,codestral-2501,3,300,17,timeout/connection,0,1
phase3-agentic-loop,codestral-2501,3,300,17,auth/access,0,1
phase3-agentic-loop,codestral-2501,3,300,17,rate-limit,0,1
phase3-agentic-loop,codestral-2501,3,300,17,server-5xx,0,1
phase3-agentic-loop,codestral-2501,3,300,17,api-version-unsupported,0,1
phase3-agentic-loop,codestral-2501,3,300,17,baseline_compile_failed,0,0
phase3-agentic-loop,codestral-2501,3,300,17,baseline_no_owning_csproj,0,0
phase3-agentic-loop,codestral-2501,3,300,17,max-turns-exhausted,16,0
phase3-agentic-loop,codestral-2501,3,300,17,context-length,0,0
phase3-agentic-loop,codestral-2501,3,300,17,content-filter,1,0
phase3-agentic-loop,codestral-2501,3,300,17,invalid-prompt,0,0
phase3-agentic-loop,codestral-2501,3,300,17,adapter-parse-error,0,0
phase3-agentic-loop,codestral-2501,3,300,17,other,0,0
phase3-agentic-loop,gpt-4.1-mini,1,300,66,timeout/connection,0,1
phase3-agentic-loop,gpt-4.1-mini,1,300,66,auth/access,0,1
phase3-agentic-loop,gpt-4.1-mini,1,300,66,rate-limit,66,1
phase3-agentic-loop,gpt-4.1-mini,1,300,66,server-5xx,0,1
phase3-agentic-loop,gpt-4.1-mini,1,300,66,api-version-unsupported,0,1
phase3-agentic-loop,gpt-4.1-mini,1,300,66,baseline_compile_failed,0,0
phase3-agentic-loop,gpt-4.1-mini,1,300,66,baseline_no_owning_csproj,0,0
phase3-agentic-loop,gpt-4.1-mini,1,300,66,max-turns-exhausted,0,0
phase3-agentic-loop,gpt-4.1-mini,1,300,66,context-length,0,0
phase3-agentic-loop,gpt-4.1-mini,1,300,66,content-filter,0,0
phase3-agentic-loop,gpt-4.1-mini,1,300,66,invalid-prompt,0,0
phase3-agentic-loop,gpt-4.1-mini,1,300,66,adapter-parse-error,0,0
phase3-agentic-loop,gpt-4.1-mini,1,300,66,other,0,0
phase3-agentic-loop,gpt-4.1-mini,2,300,113,timeout/connection,0,1
phase3-agentic-loop,gpt-4.1-mini,2,300,113,auth/access,0,1
phase3-agentic-loop,gpt-4.1-mini,2,300,113,rate-limit,113,1
phase3-agentic-loop,gpt-4.1-mini,2,300,113,server-5xx,0,1
phase3-agentic-loop,gpt-4.1-mini,2,300,113,api-version-unsupported,0,1
phase3-agentic-loop,gpt-4.1-mini,2,300,113,baseline_compile_failed,0,0
phase3-agentic-loop,gpt-4.1-mini,2,300,113,baseline_no_owning_csproj,0,0
phase3-agentic-loop,gpt-4.1-mini,2,300,113,max-turns-exhausted,0,0
phase3-agentic-loop,gpt-4.1-mini,2,300,113,context-length,0,0
phase3-agentic-loop,gpt-4.1-mini,2,300,113,content-filter,0,0
phase3-agentic-loop,gpt-4.1-mini,2,300,113,invalid-prompt,0,0
phase3-agentic-loop,gpt-4.1-mini,2,300,113,adapter-parse-error,0,0
phase3-agentic-loop,gpt-4.1-mini,2,300,113,other,0,0
phase3-agentic-loop,gpt-4.1-mini,3,300,84,timeout/connection,0,1
phase3-agentic-loop,gpt-4.1-mini,3,300,84,auth/access,0,1
phase3-agentic-loop,gpt-4.1-mini,3,300,84,rate-limit,83,1
phase3-agentic-loop,gpt-4.1-mini,3,300,84,server-5xx,0,1
phase3-agentic-loop,gpt-4.1-mini,3,300,84,api-version-unsupported,0,1
phase3-agentic-loop,gpt-4.1-mini,3,300,84,baseline_compile_failed,0,0
phase3-agentic-loop,gpt-4.1-mini,3,300,84,baseline_no_owning_csproj,0,0
phase3-agentic-loop,gpt-4.1-mini,3,300,84,max-turns-exhausted,1,0
phase3-agentic-loop,gpt-4.1-mini,3,300,84,context-length,0,0
phase3-agentic-loop,gpt-4.1-mini,3,300,84,content-filter,0,0
phase3-agentic-loop,gpt-4.1-mini,3,300,84,invalid-prompt,0,0
phase3-agentic-loop,gpt-4.1-mini,3,300,84,adapter-parse-error,0,0
phase3-agentic-loop,gpt-4.1-mini,3,300,84,other,0,0
phase3-agentic-loop,gpt-4.1-nano,1,300,23,timeout/connection,0,1
phase3-agentic-loop,gpt-4.1-nano,1,300,23,auth/access,0,1
phase3-agentic-loop,gpt-4.1-nano,1,300,23,rate-limit,15,1
phase3-agentic-loop,gpt-4.1-nano,1,300,23,server-5xx,0,1
phase3-agentic-loop,gpt-4.1-nano,1,300,23,api-version-unsupported,0,1
phase3-agentic-loop,gpt-4.1-nano,1,300,23,baseline_compile_failed,0,0
phase3-agentic-loop,gpt-4.1-nano,1,300,23,baseline_no_owning_csproj,0,0
phase3-agentic-loop,gpt-4.1-nano,1,300,23,max-turns-exhausted,8,0
phase3-agentic-loop,gpt-4.1-nano,1,300,23,context-length,0,0
phase3-agentic-loop,gpt-4.1-nano,1,300,23,content-filter,0,0
phase3-agentic-loop,gpt-4.1-nano,1,300,23,invalid-prompt,0,0
phase3-agentic-loop,gpt-4.1-nano,1,300,23,adapter-parse-error,0,0
phase3-agentic-loop,gpt-4.1-nano,1,300,23,other,0,0
phase3-agentic-loop,gpt-4.1-nano,2,300,84,timeout/connection,0,1
phase3-agentic-loop,gpt-4.1-nano,2,300,84,auth/access,0,1
phase3-agentic-loop,gpt-4.1-nano,2,300,84,rate-limit,79,1
phase3-agentic-loop,gpt-4.1-nano,2,300,84,server-5xx,0,1
phase3-agentic-loop,gpt-4.1-nano,2,300,84,api-version-unsupported,0,1
phase3-agentic-loop,gpt-4.1-nano,2,300,84,baseline_compile_failed,0,0
phase3-agentic-loop,gpt-4.1-nano,2,300,84,baseline_no_owning_csproj,0,0
phase3-agentic-loop,gpt-4.1-nano,2,300,84,max-turns-exhausted,5,0
phase3-agentic-loop,gpt-4.1-nano,2,300,84,context-length,0,0
phase3-agentic-loop,gpt-4.1-nano,2,300,84,content-filter,0,0
phase3-agentic-loop,gpt-4.1-nano,2,300,84,invalid-prompt,0,0
phase3-agentic-loop,gpt-4.1-nano,2,300,84,adapter-parse-error,0,0
phase3-agentic-loop,gpt-4.1-nano,2,300,84,other,0,0
phase3-agentic-loop,gpt-4.1-nano,3,300,92,timeout/connection,0,1
phase3-agentic-loop,gpt-4.1-nano,3,300,92,auth/access,0,1
phase3-agentic-loop,gpt-4.1-nano,3,300,92,rate-limit,90,1
phase3-agentic-loop,gpt-4.1-nano,3,300,92,server-5xx,0,1
phase3-agentic-loop,gpt-4.1-nano,3,300,92,api-version-unsupported,0,1
phase3-agentic-loop,gpt-4.1-nano,3,300,92,baseline_compile_failed,0,0
phase3-agentic-loop,gpt-4.1-nano,3,300,92,baseline_no_owning_csproj,0,0
phase3-agentic-loop,gpt-4.1-nano,3,300,92,max-turns-exhausted,2,0
phase3-agentic-loop,gpt-4.1-nano,3,300,92,context-length,0,0
phase3-agentic-loop,gpt-4.1-nano,3,300,92,content-filter,0,0
phase3-agentic-loop,gpt-4.1-nano,3,300,92,invalid-prompt,0,0
phase3-agentic-loop,gpt-4.1-nano,3,300,92,adapter-parse-error,0,0
phase3-agentic-loop,gpt-4.1-nano,3,300,92,other,0,0
phase3-agentic-loop,grok-4-1-fast,1,300,1,timeout/connection,0,1
phase3-agentic-loop,grok-4-1-fast,1,300,1,auth/access,0,1
phase3-agentic-loop,grok-4-1-fast,1,300,1,rate-limit,0,1
phase3-agentic-loop,grok-4-1-fast,1,300,1,server-5xx,0,1
phase3-agentic-loop,grok-4-1-fast,1,300,1,api-version-unsupported,0,1
phase3-agentic-loop,grok-4-1-fast,1,300,1,baseline_compile_failed,0,0
phase3-agentic-loop,grok-4-1-fast,1,300,1,baseline_no_owning_csproj,0,0
phase3-agentic-loop,grok-4-1-fast,1,300,1,max-turns-exhausted,1,0
phase3-agentic-loop,grok-4-1-fast,1,300,1,context-length,0,0
phase3-agentic-loop,grok-4-1-fast,1,300,1,content-filter,0,0
phase3-agentic-loop,grok-4-1-fast,1,300,1,invalid-prompt,0,0
phase3-agentic-loop,grok-4-1-fast,1,300,1,adapter-parse-error,0,0
phase3-agentic-loop,grok-4-1-fast,1,300,1,other,0,0
phase3-agentic-loop,grok-4-1-fast,2,300,1,timeout/connection,0,1
phase3-agentic-loop,grok-4-1-fast,2,300,1,auth/access,0,1
phase3-agentic-loop,grok-4-1-fast,2,300,1,rate-limit,1,1
phase3-agentic-loop,grok-4-1-fast,2,300,1,server-5xx,0,1
phase3-agentic-loop,grok-4-1-fast,2,300,1,api-version-unsupported,0,1
phase3-agentic-loop,grok-4-1-fast,2,300,1,baseline_compile_failed,0,0
phase3-agentic-loop,grok-4-1-fast,2,300,1,baseline_no_owning_csproj,0,0
